Lagoa,Ano,Mes,Mes.,Mes.num,Mes.ano,Prof.m,Cod.Prof,pH,cond.uS.cm,turb.NTU,OD.mg.L,Temp.oC,TDS.mg.L,Redoxe,Alc.meq.L,Chla.ug.L,P-tot.ug.L,PO4.ug.L,N-tot.ug.L,NH4.ug.L,NO3.ug.L,NO2.ug.L,Silicato.mg.L,Obs
DH,2000,fevereiro,feb,2,2_2000,1,,7.08,36,27,8.8,30.1,20,178,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,1.25,,7.17,36,29,8.83,30.1,20,178,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,1.5,,7.15,36,29,8.8,30.1,20,178,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,1.75,,7.23,36,31,8.8,30.1,20,179,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,2,,7.15,36,33,8.84,30.1,20,182,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,2.5,,7.21,36,36,8.84,30.1,20,188,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,3,10,7.16,36,38,8.87,30.1,20,187,0.04,8.019,7.62,0.732,512.2,5.99,4.0165,0.36,3.0905,
DH,2000,fevereiro,feb,2,2_2000,3.5,,7.21,36,42,8.87,30.1,20,194,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,4,,7.05,36,45,8.93,30.1,20,2,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,4.5,,6.95,36,46,8.85,30.1,20,214,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,5,,6.8,36,48,8.85,30.1,20,225,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,6,,6.66,36,49,8.96,30,20,230,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,7.5,,6.67,36,64,9.1,29.5,20,239,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,8,,6.64,36,71,9.01,29.4,20,241,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,9,1,6.62,36,74,9.04,29.1,20,247,0.03,78.0516,12.71,1.066,397.4,7.68,5.158,0.148,2.937,
DH,2000,fevereiro,feb,2,2_2000,10,,6.63,33,32,8.17,27.7,20,267,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,12,,6.22,47,49,2.49,25.2,30,135,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,18,0,5.97,64,70,0.58,23.4,40,-90,0.05,14.9688,10.07,1.066,2015.5,743.7,3.6905,3.319,3.27,
DH,2000,fevereiro,feb,2,2_2000,25,,6.01,139,,0.41,23.4,90,-108,,,,,,,,,,
DH,2000,fevereiro,feb,2,2_2000,30,,6.11,140,,0.39,23.4,90,-109,,,,,,,,,,
JA,2000,fevereiro,feb,2,2_2000,0,100,7.13,40,,8.87,31.4,,,0.043,11.2266,12.64,3.08,757.75,8.18,36.98,2.69,16.26,
JA,2000,fevereiro,feb,2,2_2000,2,10,7.34,40,,8.86,30.4,,,0.038,10.1574,12.84,2.15,788.75,36.63,41.66,3.01,17.02,
JA,2000,fevereiro,feb,2,2_2000,6,1,5.77,51,,0.61,28.6,,,0.043,21.9186,14.66,2.39,1188,259.75,65.27,6.06,15.5,
JA,2000,fevereiro,feb,2,2_2000,8,0,5.78,151,,0.51,26.4,,,0.049,32.076,16,5.4,1204,701.05,33.58,9.75,17.77,
AC,2000,fevereiro,feb,2,2_2000,0,100,6.5,41,,8.37,30.2,,,0.05,17.6418,14.86,1.99,472.75,7.39,23.704,1.256,8.284,
AC,2000,fevereiro,feb,2,2_2000,2,10,6.85,41,,8.24,30,,,0.04,13.8996,11.84,1.58,442.7,4.77,34.19,1.18,8.079,
AC,2000,fevereiro,feb,2,2_2000,6,1,5.64,41,,5.74,29.1,,,0.04,33.6798,13.45,1.29,639.9,7.717,25.47,0.93,8.144,
AC,2000,fevereiro,feb,2,2_2000,7,0,5.49,42,,2.35,28.8,,,0.04,39.0258,10.83,0.97,524.85,21.27,34.6,2.22,8.459,
AM,2000,fevereiro,feb,2,2_2000,0,100,6.33,61,,3.31,19.2,,,0.07,6.1479,17.29,10,660.15,2.63,4.176,4.19,1.344,
AM,2000,fevereiro,feb,2,2_2000,0.7,10,6.3,59,,2.56,18.7,,,0.06,24.057,22.63,8.49,806.4,3.61,4.08,4.57,1.341,
AM,2000,fevereiro,feb,2,2_2000,1,1,6.23,59,,3.03,18.6,,,0.07,8.353125,21.93,8.7,975.1,22.05,0.88,5.96,1.268,
AM,2000,fevereiro,feb,2,2_2000,1.5,0,5.9,81,,1.78,18.5,,,0.07,32.076,25.37,7.27,1206.4,3.217,4.36,3.82,1.24,
PA,2000,fevereiro,feb,2,2_2000,0,100,6.74,31,,7.44,24.7,,,0.03,25.839,9.134,0.493,1139,291.1,8.757,1.653,2.047,
PA,2000,fevereiro,feb,2,2_2000,1.5,10,6.15,31,,7.2,22.7,,,0.03,27.621,10.479,0.493,1257,244.85,9.78,1.94,2.075,
PA,2000,fevereiro,feb,2,2_2000,4,1,5.82,31,,5.42,21.6,,,0.03,34.749,13.23,1.481,798.85,319.45,14.583,1.757,2.078,
PA,2000,fevereiro,feb,2,2_2000,5.5,0,5.65,31,,3.73,21.6,,,0.03,29.8485,15.54,0.41,1051.5,260.9,9.09,3.82,3.165,
BA,2000,fevereiro,feb,2,2_2000,0,100,7.71,41,,6.61,29.9,,,0.04,13.365,14.39,3.25,737.1,3.389,3.38,1.29,5.56,
BA,2000,fevereiro,feb,2,2_2000,1.5,10,7.32,42,,6.33,29.8,,,0.04,12.2958,18.01,5.73,793.35,9.91,22.21,1.79,5.95,
BA,2000,fevereiro,feb,2,2_2000,4.5,1,5.68,43,,1.08,28.1,,,0.04,32.076,16.67,2.15,711.9,24.93,24.16,2.51,6.16,
BA,2000,fevereiro,feb,2,2_2000,6.5,0,5.86,105,,0.66,26,,,0.08,16.038,34.78,5,1928,717.4,9.69,6.31,9.87,
DH,2000,julho,jul,7,7_2000,0,100,6.5,35,,1.7,22.5,,,0.04,4.5,10.74,2.83,741.75,297.75,4.231,2.1,2.14,
DH,2000,julho,jul,7,7_2000,2,10,6,35,,1.43,22.5,,,0.04,6.2,13.47,2.412,1092.25,380.25,2.73,2.1,2.41,
DH,2000,julho,jul,7,7_2000,6,1,5.71,35,,1.44,22.5,,,0.04,3.6,11.76,3.35,939.7,395.65,2.76,2.07,1.83,
DH,2000,julho,jul,7,7_2000,15,0,5.5,34,,1.53,22.5,,,0.04,4,16.73,3.25,1181,364.5,3.054,2.03,2.29,
JA,2000,julho,jul,7,7_2000,0,100,7.2,31,,9.31,21.9,,,0.03,23.6115,22.2,2.88,814.5,47.645,10.698,2.212,3.374,
JA,2000,julho,jul,7,7_2000,2,10,6.48,31,,8.54,21.5,,,0.03,24.948,22.26,3.086,718.6,44.42,9.396,2.044,3.364,
